question_id,concept_id,question,concept_text,max_mark
Q1,Q1_C1,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Ubiquity Defined: E-commerce is available anywhere, anytime via internet-connected devices, removing geographical and time constraints on commerce.",1.0
Q1,Q1_C2,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Consumer Behaviour: Consumers can shop 24/7 from any location, reducing search time and effort; lowers transaction costs and increases bargaining power.",1.0
Q1,Q1_C3,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Business Operations: Businesses must maintain always-on digital infrastructure; inventory and fulfilment systems must respond to continuous, unpredictable demand.",1.0
Q1,Q1_C4,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Marketspace Concept: Ubiquity transforms the traditional marketplace into a 'marketspace', eliminating geographic and temporal constraints on commerce.",1.0
Q1,Q1_C5,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Critical Evaluation: While ubiquity democratises access, the digital divide excludes populations without reliable internet; always-on expectations place significant operational pressure on businesses.",1.0
Q2,Q2_C1,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,Information Asymmetry Defined: Traditional markets favour sellers who hold more product/price information than buyers; digital markets narrow this gap significantly.,1.0
Q2,Q2_C2,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Consumer Benefit: Price transparency and cost transparency empower consumers to compare prices and discover merchant costs, increasing their bargaining power.",1.0
Q2,Q2_C3,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Business Implication: Firms can no longer rely on information advantages; must compete on quality, service, and differentiation rather than price obscurity.",1.0
Q2,Q2_C4,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"New Asymmetries: Businesses leverage big data to practise dynamic pricing and price discrimination, sometimes exploiting information advantages over consumers.",1.0
Q2,Q2_C5,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"Critical Evaluation: Digital platforms like Amazon or Google accumulate vast consumer data, creating powerful new informational asymmetries that raise ethical and regulatory concerns.",1.0
Q3,Q3_C1,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Advertising Revenue Model: Revenue generated by charging fees for displaying advertisements to high-volume audiences (e.g., Google, Facebook); free for users, enabling rapid growth.",1.0
Q3,Q3_C2,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Subscription Revenue Model: Users pay a recurring fee for continuous access to a service or content (e.g., Netflix, Spotify); provides predictable, stable recurring revenue.",1.0
Q3,Q3_C3,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Comparison — Stability vs Scale: Subscription provides predictable revenue; advertising revenue fluctuates with traffic volume and advertiser spending cycles.,1.0
Q3,Q3_C4,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"Hybrid Convergence: Many platforms blend both models (e.g., Netflix ad-supported tiers, Spotify freemium); long-term trend is towards personalised, blended revenue models.",1.0
Q3,Q3_C5,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,Critical Evaluation: Advertising risks user experience tensions and ad-blocking; subscription models face churn risk and require constant high-value content delivery to retain paying customers.,1.0
Q4,Q4_C1,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","B2C (Business-to-Consumer): Firms sell directly to individual consumers (e.g., Amazon, KeellsSuper.com); strength lies in large market reach, personalisation, and brand loyalty.",1.0
Q4,Q4_C2,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","B2B (Business-to-Business): Transactions between firms (e.g., Grainger.com, b2b.hp.com); strength is high transaction values, long-term relationships, and ERP integration.",1.0
Q4,Q4_C3,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","C2C (Consumer-to-Consumer): Peer-to-peer transactions facilitated by platforms (e.g., eBay, Airbnb, ikman.lk); strength is network effects — more buyers attract more sellers.",1.0
Q4,Q4_C4,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.",Comparative Strengths: B2B generates highest value per transaction; B2C offers scale and personalisation; C2C democratises commerce and monetises idle assets.,1.0
Q4,Q4_C5,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","Critical Evaluation: Boundaries are blurring — Amazon simultaneously acts as B2C retailer, B2B marketplace enabler, and C2C platform for third-party sellers, reflecting multi-model convergence.",1.0
