question_id,concept_id,question,concept_text,max_mark,concept_source,concept_generator_backend,concept_generator_model
Q1,Q1_G1,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Ubiquity Defined: E-commerce is available anywhere, anytime via internet-connected devices, removing geographical and time constraints on commerce.",1.0,generated,flan-t5,google/flan-t5-small
Q1,Q1_G2,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Consumer Behaviour: Consumers can shop 24/7 from any location, reducing search time and effort; lowers transaction costs and increases bargaining power.",1.0,generated,flan-t5,google/flan-t5-small
Q1,Q1_G3,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Impact on Business Operations: Businesses must maintain always-on digital infrastructure; inventory and fulfilment systems must respond to continuous, unpredictable demand.",1.0,generated,flan-t5,google/flan-t5-small
Q1,Q1_G4,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Marketspace Concept: Ubiquity transforms the traditional marketplace into a 'marketspace', eliminating geographic and temporal constraints on commerce.",1.0,generated,flan-t5,google/flan-t5-small
Q1,Q1_G5,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"Critical Evaluation: While ubiquity democratises access, the digital divide excludes populations without reliable internet; always-on expectations place significant operational pressure on businesses.",1.0,generated,flan-t5,google/flan-t5-small
Q10,Q10_G1,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.",Key Management Challenges: Two critical challenges — developing a clear understanding of business objectives and selecting technology that aligns with those objectives.,1.0,generated,flan-t5,google/flan-t5-small
Q10,Q10_G2,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","E-Commerce Presence Map: A planning framework identifying four presence types: websites (search, display, apps), email (newsletters, promotions), social media (engagement, sharing), and offline media (branding, exposure).",1.0,generated,flan-t5,google/flan-t5-small
Q10,Q10_G3,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.",Strategic Role of Map: Ensures no channel is overlooked; aligns resources to where target audiences engage; supports omnichannel consistency and coherent brand messaging.,1.0,generated,flan-t5,google/flan-t5-small
Q10,Q10_G4,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","Phased Timeline: A milestone-based project timeline decomposes the complex initiative into manageable, measurable stages, reducing risk and enabling iterative improvement.",1.0,generated,flan-t5,google/flan-t5-small
Q10,Q10_G5,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","Critical Evaluation: Successful e-commerce presence requires ongoing management beyond launch — continuous performance measurement, A/B testing, algorithm adaptation; resource constraints often force prioritisation decisions that leave opportunities unexploited.",1.0,generated,flan-t5,google/flan-t5-small
Q11,Q11_G1,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Data: Raw, unprocessed facts and figures captured by systems (e.g., sales transactions); provides the foundational input for analysis but holds no inherent meaning without processing.",1.0,generated,flan-t5,google/flan-t5-small
Q11,Q11_G2,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Information: Data processed and contextualised to carry meaning (e.g., monthly regional sales reports); enables managers to identify patterns and monitor operational performance.",1.0,generated,flan-t5,google/flan-t5-small
Q11,Q11_G3,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Knowledge: Information combined with experience, interpretation, and context; enables understanding of root causes, prediction of outcomes, and strategic decision-making.",1.0,generated,flan-t5,google/flan-t5-small
Q11,Q11_G4,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.","Wisdom: The highest level — applying knowledge with contextual, experiential judgment to navigate complex, novel situations; guides long-term strategic direction.",1.0,generated,flan-t5,google/flan-t5-small
Q11,Q11_G5,"Evaluate the four dimensions of knowledge (data, information, knowledge, wisdom) and explain how each adds value to organisational decision-making.",Critical Evaluation: Each transition up the hierarchy requires progressively greater organisational resources; knowledge is dynamic — patterns become outdated — making continuous investment in knowledge refinement essential for competitive advantage.,1.0,generated,flan-t5,google/flan-t5-small
Q12,Q12_G1,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","Explicit Knowledge Defined: Personal, experience-based knowledge embedded in individual skills, intuitions, and cognitive models (e.g., expert judgment, craft skills); difficult to articulate or formalise.",1.0,generated,flan-t5,google/flan-t5-small
Q12,Q12_G2,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","• Challenge for KMS: Tacit Knowledge is 'sticky' (resistant to transfer), situated (context-embedded), and conditional (applicable only in specific circumstances) — it cannot simply be stored in a database.",1.0,generated,flan-t5,google/flan-t5-small
Q12,Q12_G3,"Critically evaluate the distinction between explicit and tacit knowledge, and assess why tacit knowledge poses a greater challenge for knowledge management systems.","• Challenge for KMS: Tacit Knowledge is 'sticky' (resistant to transfer), situated (context-embedded), and conditional (applicable only in specific circumstances) — it",1.0,generated,flan-t5,google/flan-t5-small
Q13,Q13_G1,"Evaluate the four stages of the Knowledge Management Value Chain (acquisition, storage, dissemination, application) and assess how each stage contributes to organisational value creation.","Acquisition: Capturing explicit and tacit knowledge from internal processes, expert networks, TPS, and external sources; quality of acquisition determines richness of the entire chain — garbage in, garbage out.",1.0,generated,flan-t5,google/flan-t5-small
