question_id,question,model_answer,evaluation_criteria
Q1,Evaluate the concept of 'ubiquity' as a feature of e-commerce and assess its impact on consumer behaviour and business operations.,"• Ubiquity Defined: E-commerce is available anywhere, anytime via internet-connected devices, removing geographical and time constraints on commerce.
• Impact on Consumer Behaviour: Consumers can shop 24/7 from any location, reducing search time and effort; lowers transaction costs and increases bargaining power.
• Impact on Business Operations: Businesses must maintain always-on digital infrastructure; inventory and fulfilment systems must respond to continuous, unpredictable demand.
• Marketspace Concept: Ubiquity transforms the traditional marketplace into a 'marketspace', eliminating geographic and temporal constraints on commerce.
• Critical Evaluation: While ubiquity democratises access, the digital divide excludes populations without reliable internet; always-on expectations place significant operational pressure on businesses.",
Q2,Critically evaluate how digital markets reduce information asymmetry and what implications this has for both consumers and businesses.,"• Information Asymmetry Defined: Traditional markets favour sellers who hold more product/price information than buyers; digital markets narrow this gap significantly.
• Consumer Benefit: Price transparency and cost transparency empower consumers to compare prices and discover merchant costs, increasing their bargaining power.
• Business Implication: Firms can no longer rely on information advantages; must compete on quality, service, and differentiation rather than price obscurity.
• New Asymmetries: Businesses leverage big data to practise dynamic pricing and price discrimination, sometimes exploiting information advantages over consumers.
• Critical Evaluation: Digital platforms like Amazon or Google accumulate vast consumer data, creating powerful new informational asymmetries that raise ethical and regulatory concerns.",
Q3,Compare and critically evaluate the advertising revenue model and the subscription revenue model in the context of e-commerce.,"• Advertising Revenue Model: Revenue generated by charging fees for displaying advertisements to high-volume audiences (e.g., Google, Facebook); free for users, enabling rapid growth.
• Subscription Revenue Model: Users pay a recurring fee for continuous access to a service or content (e.g., Netflix, Spotify); provides predictable, stable recurring revenue.
• Comparison — Stability vs Scale: Subscription provides predictable revenue; advertising revenue fluctuates with traffic volume and advertiser spending cycles.
• Hybrid Convergence: Many platforms blend both models (e.g., Netflix ad-supported tiers, Spotify freemium); long-term trend is towards personalised, blended revenue models.
• Critical Evaluation: Advertising risks user experience tensions and ad-blocking; subscription models face churn risk and require constant high-value content delivery to retain paying customers.",
Q4,"Evaluate the differences between B2C, B2B, and C2C e-commerce models, providing real-world examples and assessing the strengths of each.","• B2C (Business-to-Consumer): Firms sell directly to individual consumers (e.g., Amazon, KeellsSuper.com); strength lies in large market reach, personalisation, and brand loyalty.
• B2B (Business-to-Business): Transactions between firms (e.g., Grainger.com, b2b.hp.com); strength is high transaction values, long-term relationships, and ERP integration.
• C2C (Consumer-to-Consumer): Peer-to-peer transactions facilitated by platforms (e.g., eBay, Airbnb, ikman.lk); strength is network effects — more buyers attract more sellers.
• Comparative Strengths: B2B generates highest value per transaction; B2C offers scale and personalisation; C2C democratises commerce and monetises idle assets.
• Critical Evaluation: Boundaries are blurring — Amazon simultaneously acts as B2C retailer, B2B marketplace enabler, and C2C platform for third-party sellers, reflecting multi-model convergence.",
Q5,"Assess how digital goods differ from traditional goods in terms of cost structure, and evaluate the impact of these differences on industries such as publishing and music.","• Cost Structure of Digital Goods: Near-zero marginal cost of reproduction and distribution once created; no physical production, storage, or shipping expenses beyond the first unit.
• Traditional Goods Contrast: Physical goods incur per-unit manufacturing, logistics, and inventory holding costs, fundamentally constraining scalability.
• Impact on Music Industry: Physical album sales replaced by streaming platforms (Spotify, Apple Music) distributing infinite copies at negligible marginal cost; royalty revenues per unit significantly reduced.
• Impact on Publishing: E-books and digital subscriptions eliminate print and distribution costs; publishers can price flexibly and reach global audiences instantly.
• Critical Evaluation: Low marginal cost is a double-edged sword — while consumers benefit from lower prices and instant access, piracy erodes revenue and streaming royalties are significantly lower than physical sales income.",
Q6,"Evaluate the concept of disintermediation in digital markets. How does removing intermediary layers benefit consumers, and what are the potential drawbacks?","• Disintermediation Defined: The removal of intermediaries (wholesalers, retailers, brokers) from the supply chain through direct digital transactions between producers and consumers.
• Consumer Benefit: Lower end prices (e.g., sweater dropping from $48.50 to $20.45 direct); faster transactions and direct access to producers.
• Business Benefit: Higher profit margins per sale and direct customer relationships enabling richer data collection and better brand control.
• Potential Drawbacks: Intermediaries provide logistics, quality assurance, customer service, and dispute resolution; their removal shifts these responsibilities and risks to manufacturers or consumers.
• Re-intermediation: New digital intermediaries (e.g., Amazon) often emerge, recreating dependency and extracting fees — challenging the pure efficiency narrative of disintermediation.",
Q7,"Critically evaluate the role of social e-commerce and social network marketing in modern business strategy, using specific features and examples.","• Social E-Commerce Defined: Use of social networks to facilitate peer-influenced purchasing decisions, underpinned by the digital social graph mapping all online social relationships.
• Key Features: Newsfeeds (organic product exposure), social sign-on (rich demographic data), collaborative shopping, network notifications (viral recommendations), and social search.
• Business Value: Enables viral marketing at minimal cost, builds brand communities, hyper-targets advertising using social profile data, and leverages 'wisdom of crowds' for product insights.
• Social Network Marketing: Targeted advertising using demographic and behavioural data (e.g., Facebook Ads, TikTok for Business); effective for B2C impulse-driven purchases.
• Critical Evaluation: Raises ethical concerns around harvesting personal social data without explicit consent, algorithmic manipulation of purchasing impulses; GDPR and privacy regulations increasingly challenge its data-driven foundation.",
Q8,"Evaluate the growth and significance of mobile commerce (m-commerce), identifying its main areas of growth and the services that support it.","• M-Commerce Defined: Commercial transactions conducted via mobile devices (smartphones, tablets) using wireless networks; accounts for approximately 34% of global e-commerce transactions.
• Areas of Growth: Mass market retailing (Amazon, eBay), digital content consumption (music, TV, e-books), in-app purchases, and mobile ticketing.
• Supporting Services: Location-based services (geosocial, geo-advertising, geoinformation) add spatial context; mobile payment systems (Apple Pay, Google Pay) enable seamless transactions.
• Mobile Advertising: Dominated by Google and Facebook, monetising consumer attention within apps, games, and videos; financial apps from banks expand the m-commerce ecosystem.
• Critical Evaluation: Structural challenges include smaller screen UX limitations, mobile payment security concerns, and fragmented device ecosystems (iOS vs Android); always-connected nature raises data privacy concerns.",
Q9,"Evaluate the 'market creator' e-commerce business model. How do platforms like eBay, Uber, and Airbnb create value, and what challenges do they face?","• Market Creator Model Defined: Platforms that build digital marketplaces connecting buyers and sellers who transact directly; platform earns revenue through transaction fees without owning underlying assets.
• Value Creation — eBay: Aggregates buyers and sellers globally, enabling transparent price discovery through auction and fixed-price mechanisms.
• Value Creation — Uber/Airbnb: Monetise underutilised assets (cars, homes) by matching supply and demand in real time, generating powerful two-sided network effects.
• Network Effect Advantage: Platform value grows as more participants join — more sellers attract more buyers — creating self-reinforcing growth cycles and high barriers to entry.
• Critical Challenges: Regulatory pressure (Uber licensing disputes, Airbnb housing bans), trust management (rating systems mitigate but cannot eliminate fraud), gig economy labour rights concerns, and winner-takes-all monopoly power dynamics.",
Q10,"Evaluate the key challenges a business must address when building an e-commerce presence, including the role of the e-commerce presence map.","• Key Management Challenges: Two critical challenges — developing a clear understanding of business objectives and selecting technology that aligns with those objectives.
• E-Commerce Presence Map: A planning framework identifying four presence types: websites (search, display, apps), email (newsletters, promotions), social media (engagement, sharing), and offline media (branding, exposure).
• Strategic Role of Map: Ensures no channel is overlooked; aligns resources to where target audiences engage; supports omnichannel consistency and coherent brand messaging.
• Phased Timeline: A milestone-based project timeline decomposes the complex initiative into manageable, measurable stages, reducing risk and enabling iterative improvement.
• Critical Evaluation: Successful e-commerce presence requires ongoing management beyond launch — continuous performance measurement, A/B testing, algorithm adaptation; resource constraints often force prioritisation decisions that leave opportunities unexploited.",
